Dirección;PV;AT;AC;RAT/AC;Mz;EST;ED;FH;ENUS;LOC;+EQUIP;UBIC1;UBIC2;PU;Estado;Año
Zona Industrial I;1.500.000,00;5.205,40;3.123,24;1,67;0;20;44;0,1817;0;0;0;1;0;480,27;Regular;2024
Zona Industrial II;1.500.000,00;630,00;630,00;1,00;1;4;34;0,1817;1;1;0;0;1;2380,95;Regular;2024
Zona Industrial II;1.500.000,00;464,00;464,00;1,00;0;3;18;0,1817;0;1;0;0;1;3232,76;Regular;2024
Zona Industrial II;1.500.000,00;623,52;623,52;1,00;1;3;41;0,1817;0;1;0;0;1;2405,70;Regular;2024
Zona Industrial II;1.500.000,00;8.500,00;6.800,00;1,25;1;10;15;0,1817;0;0;0;0;1;220,59;Regular;2024
Zona Industrial II;1.500.000,00;1.137,00;1.368,00;0,83;1;3;13;0,0249;0;1;0;0;1;1096,49;Bueno;2024
Zona Industrial II;1.500.000,00;2.128,73;2.420,00;0,88;1;16;14;0,0249;1;1;0;0;1;619,83;Bueno;2024
Zona Industrial I;1.500.000,00;1.134,00;1.134,00;1,00;1;3;10;0,0249;1;1;0;1;0;1322,75;Bueno;2024
Zona Industrial II;1.500.000,00;444,00;444,00;1,00;1;3;10;0,0249;0;1;0;0;1;3378,38;Bueno;2024
Zona Industrial I;1.500.000,00;1.168,00;1.168,00;1,00;0;2;40;0,1817;0;1;0;1;0;1284,25;Regular;2024
Zona Industrial I;1.500.000,00;462,00;462,00;1,00;1;10;27;0,0249;1;1;1;1;0;3246,75;Bueno;2024
Zona Industrial I;1.500.000,00;1.250,00;1.250,00;1,00;0;5;30;0,1817;0;1;0;1;0;1200,00;Regular;2024
Zona Industrial I;1.500.000,00;5.060,00;5.060,00;1,00;1;5;30;0,0249;1;0;1;1;0;296,44;Bueno;2024
Zona Industrial II;1.500.000,00;700,00;700,00;1,00;1;3;30;0,0809;1;1;0;0;1;2142,86;Intermedio;2024
Zona Industrial II;1.500.000,00;1.260,00;600,00;2,10;1;4;25;0,0809;1;0;0;0;1;2500,00;Intermedio;2024
Zona Industrial III;1.500.000,00;1.500,00;1.005,00;1,49;1;1;19;0,1817;0;1;0;0;0;1492,54;Regular;2024
Zona Industrial I;1.500.000,00;1.500,00;1.134,00;1,32;1;3;9;0,0809;0;0;1;1;0;1322,75;Intermedio;2024
Zona Industrial II;1.500.000,00;1.990,00;1.990,00;1,00;1;10;37;0,1817;1;1;0;0;1;753,77;Regular;2024
Zona Industrial I;1.500.000,00;804,00;804,00;1,00;0;10;16;0,1817;1;0;0;1;0;1865,67;Regular;2024
Zona Industrial II;1.500.000,00;467,00;467,00;1,00;0;4;8;0,0809;1;1;0;0;1;3211,99;Intermedio;2024
Zona Industrial II;1.500.000,00;10.000,00;5.000,00;2,00;1;20;22;0,1817;1;0;1;0;1;300,00;Regular;2024
Zona Industrial II;1.500.000,00;10.470,00;10.470,00;1,00;0;5;1;0,1817;0;1;0;0;1;143,27;Regular;2024
Zona Industrial II;1.500.000,00;644,00;644,00;1,00;1;6;8;0,0249;1;1;1;0;1;2329,19;Bueno;2024
Zona Industrial III;1.500.000,00;1.782,00;1.782,00;1,00;0;3;22;0,1817;0;1;0;0;0;841,75;Regular;2024
Zona Industrial I;1.500.000,00;3.167,00;3.167,00;1,00;0;10;20;0,1817;0;0;0;1;0;473,63;Regular;2024
Zona Industrial III;1.500.000,00;1.037,00;658,00;1,58;1;4;20;0,01817;0;0;0;0;0;2279,64;Deficiente;2024
Zona Industrial II;1.500.000,00;928,00;928,00;1,00;1;2;13;0,0809;0;1;0;0;1;1616,38;Intermedio;2024
Zona Industrial I;1.500.000,00;618,00;618,00;1,00;0;2;24;0,01817;0;0;0;1;0;2427,18;Deficiente;2024
Zona Industrial I;1.500.000,00;350,00;350,00;1,00;0;2;36;0,1817;1;0;0;1;0;4285,71;Regular;2024
Zona Industrial I;1.500.000,00;1.692,00;1.692,00;1,00;0;4;11;0,0809;0;0;0;1;0;886,52;Intermedio;2024
Zona Industrial I;1.500.000,00;1.870,00;1.870,00;1,00;1;2;20;0,0809;0;0;0;1;0;802,14;Intermedio;2024
Zona Industrial I;1.500.000,00;533,00;533,00;1,00;0;2;38;0,0809;1;0;0;1;0;2814,26;Intermedio;2024
Zona Industrial III;1.500.000,00;3.407,00;3.407,00;1,00;1;20;23;0,1817;0;1;0;0;0;440,27;Regular;2024
Zona Industrial II;1.500.000,00;2.600,00;1.700,00;1,53;0;20;12;0,3309;0;0;0;0;1;882,35;Deficiente;2024
Zona Industrial II;1.500.000,00;18.750,00;10.705,00;1,75;1;12;13;0,0809;0;1;1;0;1;140,12;Intermedio;2024
Zona Industrial II;1.500.000,00;14.450,00;8.000,00;1,81;1;35;40;0,0809;0;1;1;0;1;187,50;Intermedio;2024
Zona Industrial I;1.500.000,00;7.000,00;1.200,00;5,83;0;10;15;0,1817;0;0;0;1;0;1250,00;Regular;2024
Zona Industrial III;1.500.000,00;2.862,00;2.862,00;1,00;0;4;17;0,1817;1;0;0;0;0;524,11;Regular;2024
Zona Industrial II;1.500.000,00;1.990,00;1.990,00;1,00;1;3;7;0,0249;1;1;1;0;1;753,77;Bueno;2024
Zona Industrial I;1.500.000,00;1.200,00;1.200,00;1,00;1;6;11;0,1817;0;0;0;1;0;1250,00;Regular;2024
Zona Industrial II;1.500.000,00;644,00;644,00;1,00;1;6;6;0,0249;1;1;1;0;1;2329,19;Bueno;2024
Zona Industrial I;1.500.000,00;700,00;700,00;1,00;0;1;20;0,1817;0;0;0;1;0;2142,86;Regular;2024
Zona Industrial I;1.500.000,00;2.700,00;1.600,00;1,69;0;10;30;0,1817;0;0;0;1;0;937,50;Regular;2024
Zona Industrial I;1.500.000,00;2.035,99;1.999,00;1,02;0;5;23;0,3309;0;0;0;1;0;750,38;Deficiente;2024
Zona Industrial II;1.500.000,00;29.844,00;6.670,00;4,47;1;20;19;0,1817;0;0;0;0;1;224,89;Regular;2024
Zona Industrial III;1.500.000,00;2.575,00;995,00;2,59;0;6;37;0,1817;0;0;0;0;0;1507,54;Regular;2024
Zona Industrial II;1.500.000,00;490,00;490,00;1,00;1;15;15;0,1817;0;0;0;0;1;3061,22;Regular;2024
Zona Industrial II;1.500.000,00;20.000,00;9.000,00;2,22;1;10;3;0,0249;0;0;1;0;1;166,67;Bueno;2024
